Python Crash Course: A Hands-On, Project-Based Introduction to Programming|Eric Matthes|https://images-na.ssl-images-amazon.com/images/I/51-u3J3mtTL._SX218_BO1,204,203,200_QL40_.jpg|<div> <div><p><em>Python Crash Course</em> is a fast-paced, thorough introduction to programming with Python that will have you writing programs, solving problems, and making things that work in no time.<br><br>In the first half of the book, you'll learn about basic programming concepts, such as lists, dictionaries, classes, and loops, and practice writing clean and readable code with exercises for each topic. You'll also learn how to make your programs interactive and how to test your code safely before adding it to a project. In the second half of the book, you'll put your new knowledge into practice with three substantial projects: a Space Invaders-inspired arcade game, data visualizations with Python's super-handy libraries, and a simple web app you can deploy online.<br><br>As you work through <em>Python Crash Course</em>, you'll learn how to:<br><br></p><ul><li>Use powerful Python libraries and tools, including matplotlib, NumPy, and Pygal</li><li>Make 2D games that respond to keypresses and mouse clicks, and that grow more difficult as the game progresses</li><li>Work with data to generate interactive visualizations</li><li>Create and customize simple web apps and deploy them safely online</li><li>Deal with mistakes and errors so you can solve your own programming problems</li></ul><br><br>If you've been thinking seriously about digging into programming, <em>Python Crash Course</em> will get you up to speed and have you writing real programs fast. Why wait any longer? Start your engines and code!</div></div>
Clean Code: A Handbook of Agile Software Craftsmanship|Robert C. Martin|https://images-na.ssl-images-amazon.com/images/I/41TINACY3hL._SX218_BO1,204,203,200_QL40_.jpg|<div> Even bad code can function. But if code isn’t clean, it can bring a development organization to its knees. Every year, countless hours and significant resources are lost because of poorly written code. But it doesn’t have to be that way.<br> <br>Noted software expert Robert C. Martin presents a revolutionary paradigm with <i> <b>Clean Code: A Handbook of Agile Software Craftsmanship</b> </i>. Martin has teamed up with his colleagues from Object Mentor to distill their best agile practice of cleaning code “on the fly” into a book that will instill within you the values of a software craftsman and make you a better programmer—but only if you work at it.<br> <br>What kind of work will you be doing? You’ll be reading code—lots of code. And you will be challenged to think about what’s right about that code, and what’s wrong with it. More importantly, you will be challenged to reassess your professional values and your commitment to your craft.<br> <br> <i> <b>Clean Code</b> </i> is divided into three parts. The first describes the principles, patterns, and practices of writing clean code. The second part consists of several case studies of increasing complexity. Each case study is an exercise in cleaning up code—of transforming a code base that has some problems into one that is sound and efficient. The third part is the payoff: a single chapter containing a list of heuristics and “smells” gathered while creating the case studies. The result is a knowledge base that describes the way we think when we write, read, and clean code.<br> <br>Readers will come away from this book understanding<br> <ul> <li>How to tell the difference between good and bad code</li> <li>How to write good code and how to transform bad code into good code</li> <li>How to create good names, good functions, good objects, and good classes</li> <li>How to format code for maximum readability</li> <li>How to implement complete error handling without obscuring code logic</li> <li>How to unit test and practice test-driven development</li> </ul>This book is a must for any developer, software engineer, project manager, team lead, or systems analyst with an interest in producing better code.<br> <br></div>
Web Design with HTML, CSS, JavaScript and jQuery Set|Jon Duckett|https://images-na.ssl-images-amazon.com/images/I/416M8%2B8aNvL._SX218_BO1,204,203,200_QL40_.jpg|<div> <b>A two-book set for web designers and front-end developers</b> <p>This two-book set combines the titles <i>HTML &amp; CSS: Designing and Building Web Sites</i> and <i>JavaScript &amp; jQuery: Interactive Front-End Development</i>. Together these two books form an ideal platform for anyone who wants to master HTML and CSS before stepping up to JavaScript and jQuery.</p> <p><i>HTML &amp; CSS</i> covers structure, text, links, images, tables, forms, useful options, adding style with CSS, fonts, colors, thinking in boxes, styling lists and tables, layouts, grids, and even SEO, Google analytics, ftp, and HTML5. <i>JavaScript &amp; jQuery</i> offers an excellent combined introduction to these two technologies using a clear and simple visual approach using diagrams, infographics, and photographs.</p> <ul> <li>A handy two-book set that uniquely combines related technologies</li> <li>Highly visual format and accessible language makes these books highly effective learning tools</li> <li>Perfect for beginning web designers and front-end developers</li> </ul></div>
Automate the Boring Stuff with Python: Practical Programming for Total Beginners|Al Sweigart|https://images-na.ssl-images-amazon.com/images/I/51f0jmofBCL._SX218_BO1,204,203,200_QL40_.jpg|<div> <div><p>If you've ever spent hours renaming files or updating hundreds of spreadsheet cells, you know how tedious tasks like these can be. But what if you could have your computer do them for you?</p><p>In <i>Automate the Boring Stuff with Python</i>, you'll learn how to use Python to write programs that do in minutes what would take you hours to do by hand—no prior programming experience required. Once you've mastered the basics of programming, you'll create Python programs that effortlessly perform useful and impressive feats of automation to:</p><ul><li>Search for text in a file or across multiple files</li><li>Create, update, move, and rename files and folders</li><li>Search the Web and download online content</li><li>Update and format data in Excel spreadsheets of any size</li><li>Split, merge, watermark, and encrypt PDFs</li><li>Send reminder emails and text notifications</li><li>Fill out online forms</li></ul><p>Step-by-step instructions walk you through each program, and practice projects at the end of each chapter challenge you to improve those programs and use your newfound skills to automate similar tasks.</p><p>Don't spend your time doing work a well-trained monkey could do. Even if you've never written a line of code, you can make your computer do the grunt work. Learn how in <i>Automate the Boring Stuff with Python</i>.</p></div></div>
HTML and CSS: Design and Build Websites|Jon Duckett|https://images-na.ssl-images-amazon.com/images/I/41WznOEKmAL._SX218_BO1,204,203,200_QL40_.jpg|<div> <b>A full-color introduction to the basics of HTML and CSS from the publishers of Wrox!</b>   <p>Every day, more and more people want to learn some HTML and CSS. Joining the professional web designers and programmers are new audiences who need to know a little bit of code at work (update a content management system or e-commerce store) and those who want to make their personal blogs more attractive. Many books teaching HTML and CSS are dry and only written for those who want to become programmers, which is why this book takes an entirely new approach.</p> <ul> <li>Introduces HTML and CSS in a way that makes them accessible to everyone—hobbyists, students, and professionals—and it’s full-color throughout</li> <li>Utilizes information graphics and lifestyle photography to explain the topics in a simple way that is engaging</li> <li>Boasts a unique structure that allows you to progress through the chapters from beginning to end or just dip into topics of particular interest at your leisure</li> </ul> <p>This educational book is one that you will enjoy picking up, reading, then referring back to. It will make you wish other technical topics were presented in such a simple, attractive and engaging way!<br> <br> This book is also available as part of a set in hardcover - <i>Web Design with HTML, CSS, JavaScript and jQuery</i>, 9781119038634; and in softcover - <i>Web Design with HTML, CSS, JavaScript and jQuery</i>, 9781118907443.</p></div>
Learn Windows PowerShell in a Month of Lunches|Donald W. Jones|https://images-na.ssl-images-amazon.com/images/I/51oYzgTCiyL._SX218_BO1,204,203,200_QL40_.jpg|<div> <div><p><b>Summary</b></p> <p><i>Learn Windows PowerShell in a Month of Lunches, Third Edition</i> is an innovative tutorial designed for busy IT professionals. This updated edition covers PowerShell features that run on Windows 7, Windows Server 2008 R2 and later, PowerShell v3 and later, and includes v5 features like PowerShellGet.</p> <p>Purchase of the print book includes a free eBook in PDF, Kindle, and ePub formats from Manning Publications.</p> <p><b>About the Technology</b></p> <p>PowerShell is both a scripting language and an administrative shell that lets you control and automate nearly every aspect of Windows. It accepts and executes commands interactively and you can write scripts to manage most Windows servers like Exchange, IIS, and SharePoint, as well as online services like Azure and Office 365.</p> <p><b>About the Book</b></p> <p><i>Learn Windows PowerShell in a Month of Lunches, Third Edition</i> is an innovative tutorial designed for busy IT professionals. Just set aside one hour a day - lunchtime would be perfect - for a month, and you'll be automating Windows tasks faster than you ever thought possible. This updated edition covers PowerShell features that run on Windows 7, Windows Server 2008 R2 and later, PowerShell v3 and later, and includes v5 features like PowerShellGet. </p> <p><b>What's Inside</b></p> <p></p><ul><li>Learn PowerShell from the beginning, no experience required!</li><li>Covers PowerShell v3 and up, Windows 7, and Windows Server 2008 R2 and later</li><li>Each lesson takes you an hour or less</li></ul> <p><b>About the Reader</b></p> <p>Experience with Windows administration is helpful. No programming or scripting experience needed.</p> <p><b>About the Author</b></p> <p>Veteran PowerShell MVPs Don Jones and Jeffery Hicks bring years as successful trainers to this concise, easy-to-follow book.</p> <p><b>Table of Contents</b></p> <p></p><ol><li>Before you begin</li><li>Meet PowerShell</li><li>Using the help system</li><li>Running commands</li><li>Working with providers</li><li>The pipeline: connecting commands</li><li>Adding commands</li><li>Objects: data by another name</li><li>The pipeline, deeper</li><li>Formatting - and why it's done on the right</li><li>Filtering and comparisons</li><li>A practical interlude</li><li>Remote control: one-to-one, and one-to-many</li><li>Using Windows Management Instrumentation and CIM</li><li>Multitasking with background jobs</li><li>Working with many objects, one at a time</li><li>Security alert!</li><li>Variables: a place to store your stuff</li><li>Input and output</li><li>Sessions: remote control with less work</li><li>You call this scripting?</li><li>Improving your parameterized script</li><li>Advanced remoting configuration</li><li>Using regular expressions to parse text files</li><li>Additional random tips, tricks, and techniques</li><li>Using someone else's script</li><li>Never the end</li><li>PowerShell cheat sheet</li></ol></div></div>
Head First Java, 2nd Edition|Kathy Sierra|https://images-na.ssl-images-amazon.com/images/I/51Gsycdh-TL._SX218_BO1,204,203,200_QL40_.jpg|<div> <p>Learning a complex new language is no easy task especially when it s an object-oriented computer programming language like Java.  You might think the problem is your brain. It seems to have a mind of its own, a mind that doesn't always want to take in the dry, technical stuff you're forced to study.<br><br> The fact is your brain craves novelty. It's constantly searching, scanning, waiting for something unusual to happen. After all, that's the way it was built to help you stay alive. It takes all the routine, ordinary, dull stuff and filters it to the background so it won't interfere with your brain's real work--recording things that matter. How does your brain know what matters? It's like the creators of the Head First approach say, suppose you're out for a hike and a tiger jumps in front of you, what happens in your brain? Neurons fire. Emotions crank up. Chemicals surge. That's how your brain knows.<br><br> And that's how your brain will learn Java. <em>Head First Java</em> combines puzzles, strong visuals, mysteries, and soul-searching interviews with famous Java objects to engage you in many different ways. It's fast, it's fun, and it's effective. And, despite its playful appearance, Head First Java is serious stuff: a complete introduction to object-oriented programming and Java.  You'll learn everything from the fundamentals to advanced topics, including threads, network sockets, and distributed programming with RMI.  And the new. second edition focuses on Java 5.0, the latest version of the Java language and development platform.  Because Java 5.0 is a major update to the platform, with deep, code-level changes, even more careful study and implementation is required.  So learning the Head First way is more important than ever.<br><br> If you've read a Head First book, you know what to expect--a visually rich format designed for the way your brain works. If you haven't, you're in for a treat. You'll see why people say it's unlike any other Java book you've ever read.<br><br> By exploiting how your brain works, <em>Head First Java</em> compresses the time it takes to learn and retain--complex information.  Its unique approach not only shows you what you need to know about Java syntax, it teaches you to think like a Java programmer. If you want to be bored, buy some other book. But if you want to understand Java, this book's for you.</p></div>
An Introduction to Statistical Learning: with Applications in R (Springer Texts in Statistics)|Gareth James|https://images-na.ssl-images-amazon.com/images/I/41j-sT98Z%2BL._SY291_BO1,204,203,200_QL40_.jpg|<div> <p><b>An Introduction to Statistical Learning</b> provides an accessible overview of the field of statistical learning, an essential toolset for making sense of the vast and complex data sets that have emerged in fields ranging from biology to finance to marketing to astrophysics in the past twenty years. This book presents some of the most important modeling and prediction techniques, along with relevant applications. Topics include linear regression, classification, resampling methods, shrinkage approaches, tree-based methods, support vector machines, clustering, and more. Color graphics and real-world examples are used to illustrate the methods presented. Since the goal of this textbook is to facilitate the use of these statistical learning techniques by practitioners in science, industry, and other fields, each chapter contains a tutorial on implementing the analyses and methods presented in R, an extremely popular open source statistical software platform.</p><p>Two of the authors co-wrote The Elements of Statistical Learning (Hastie, Tibshirani and Friedman, 2nd edition 2009), a popular reference book for statistics and machine learning researchers. <b>An Introduction to Statistical Learning</b> covers many of the same topics, but at a level accessible to a much broader audience. This book is targeted at statisticians and non-statisticians alike who wish to use cutting-edge statistical learning techniques to analyze their data. The text assumes only a previous course in linear regression and no knowledge of matrix algebra.</p></div>
Learning Python, 5th Edition|Mark Lutz|https://images-na.ssl-images-amazon.com/images/I/515iBchIIzL._SX218_BO1,204,203,200_QL40_.jpg|<div> <div><p>Get a comprehensive, in-depth introduction to the core Python language with this hands-on book. Based on author Mark Lutz’s popular training course, this updated fifth edition will help you quickly write efficient, high-quality code with Python. It’s an ideal way to begin, whether you’re new to programming or a professional developer versed in other languages.</p><p>Complete with quizzes, exercises, and helpful illustrations,  this easy-to-follow, self-paced tutorial gets you started with both Python 2.7 and 3.3— the latest releases in the 3.X  and 2.X lines—plus all other releases in common use today. You’ll also learn some advanced language features that recently have become more common in Python code.</p><ul><li>Explore Python’s major built-in object types such as numbers, lists, and dictionaries</li><li>Create and process objects with Python statements, and learn Python’s general syntax model</li><li>Use functions to avoid code redundancy and package code for reuse</li><li>Organize statements, functions, and other tools into larger components with modules</li><li>Dive into classes: Python’s object-oriented programming tool for structuring code</li><li>Write large programs with Python’s exception-handling model and development tools</li><li>Learn advanced Python tools, including decorators, descriptors, metaclasses, and Unicode processing</li></ul></div></div>
SQL in 10 Minutes, Sams Teach Yourself (4th Edition)|Ben Forta|https://images-na.ssl-images-amazon.com/images/I/41p3IT0dVzL._SY291_BO1,204,203,200_QL40_.jpg|"<div> <p style=""margin: 0px;""> </p> <p style=""margin: 0px;""> <b>Sams Teach Yourself SQL in 10 Minutes, Fourth Edition</b> </p> <p style=""margin: 0px;""> <b> <i>New full-color code examples help you see how SQL statements are structured</i> </b> <b> <br> </b> </p> <p style=""margin: 0px;""> <br> </p> <p style=""margin: 0px;"">Whether you're an application developer, database administrator, web application designer, mobile app developer, or Microsoft Office users, a good working knowledge of SQL is an important part of interacting with databases. And <b>Sams Teach Yourself SQL in 10 Minutes</b> offers the straightforward, practical answers you need to help you do your job.<br> </p> <p style=""margin: 0px;""> <br> </p> <p style=""margin: 0px;"">Expert trainer and popular author Ben Forta teaches you just the parts of SQL you need to know–starting with simple data retrieval and quickly going on to more complex topics including the use of joins, subqueries, stored procedures, cursors, triggers, and table constraints. <br> </p> <p style=""margin: 0px;""> <br> </p> <p style=""margin: 0px;"">You'll learn methodically, systematically, and simply–in 22 short, quick lessons that will each take only 10 minutes or less to complete. <br> </p> <br> <p style=""margin: 0px;""> </p>With the Fourth Edition of this worldwide bestseller, the book has been thoroughly updated, expanded, and improved. Lessons now cover the latest versions of IBM DB2, Microsoft Access, Microsoft SQL Server, MySQL, Oracle, PostgreSQL, SQLite, MariaDB, and Apache Open Office Base. And new full-color SQL code listings help the beginner clearly see the elements and structure of the language.<br> <br> <i>10 minutes is all you need to learn how to...</i> <br> <p style=""margin: 0px;""> </p> <p style=""margin: 0px;""> </p> <p style=""margin: 0px;""> </p> <ul> <li> <div style=""margin: 0px;"">Use the major SQL statements</div> </li> <li> <div style=""margin: 0px;"">Construct complex SQL statements using multiple clauses and operators</div> </li> <li> <div style=""margin: 0px;"">Retrieve, sort, and format database contents</div> </li> <li> <div style=""margin: 0px;"">Pinpoint the data you need using a variety of filtering techniques</div> </li> <li> <div style=""margin: 0px;"">Use aggregate functions to summarize data</div> </li> <li> <div style=""margin: 0px;"">Join two or more related tables</div> </li> <li> <div style=""margin: 0px;"">Insert, update, and delete data</div> </li> <li> <div style=""margin: 0px;"">Create and alter database tables</div> </li> <li> <div style=""margin: 0px;"">Work with views, stored procedures, and more</div> </li> </ul> <b>Table of Contents</b> <br> <br>1 Understanding SQL<br> <p style=""margin: 0px;"">2 Retrieving Data<br> </p>3 Sorting Retrieved Data<br> <p style=""margin: 0px;"">4 Filtering Data<br> </p> <p style=""margin: 0px;"">5 Advanced Data Filtering<br> </p> <p style=""margin: 0px;"">6 Using Wildcard Filtering<br> </p> <p style=""margin: 0px;"">7 Creating Calculated Fields<br> </p> <p style=""margin: 0px;"">8 Using Data Manipulation Functions<br> </p> <p style=""margin: 0px;"">9 Summarizing Data<br> </p> <p style=""margin: 0px;"">10 Grouping Data<br> </p> <p style=""margin: 0px;"">11 Working with Subqueries<br> </p> <p style=""margin: 0px;"">12 Joining Tables<br> </p> <p style=""margin: 0px;"">13 Creating Advanced Joins<br> </p> <p style=""margin: 0px;"">14 Combining Queries<br> </p> <p style=""margin: 0px;"">15 Inserting Data<br> </p> <p style=""margin: 0px;"">16 Updating and Deleting Data<br> </p> <p style=""margin: 0px;"">17 Creating and Manipulating Tables<br> </p> <p style=""margin: 0px;"">18 Using Views<br> </p> <p style=""margin: 0px;"">19 Working with Stored Procedures<br> </p> <p style=""margin: 0px;"">20 Managing Transaction Processing<br> </p> <p style=""margin: 0px;"">21 Using Cursors<br> </p> <p style=""margin: 0px;"">22 Understanding Advanced SQL Features<br> </p> <p style=""margin: 0px;"">Appendix A: Sample Table Scripts<br> </p> <p style=""margin: 0px;"">Appendix B: Working in Popular Applications<br> </p> <p style=""margin: 0px;"">Appendix C : SQL Statement Syntax<br> </p>Appendix D: Using SQL Datatypes<br> <p style=""margin: 0px;"">Appendix E: SQL Reserved Words<b> <br> </b> </p> <p style=""margin: 0px;""> <b> <br> </b> </p></div>"
